clue_id,player_id,answer
4673,150,What is a charge?
4683,152,What is Paris?
4689,151,What is Swaziland?
4708,155,What... are potato chips?
4717,155,"Who is... oh, no."
4747,153,Who was Sir Edmund Hillary?
4748,153,What is an amaranth?
4763,157,Who is Barbara Walters?
4771,155,What is the Aloha Bowl?
4776,156,What is a vestibule?
4786,157,What is Rhoda?
4794,157,Who is Jenny McCarthy?
4796,157,What is archipelago?
4800,155,What is Hispaniola?
4813,161,What are flies?
4819,160,What is the adam's apple?
4822,159,What is Election Day?
4828,160,What is July?
4833,161,"What are ""The Heroes of Telemark?"""
4834,160,What are pyramids?
4841,161,Who is Leonardo da Vinci?
4842,160,What is GM?
4850,160,What is Switzerland?
4854,160,What is Isuzu?
4855,160,Who was Geronimo?
4884,152,What is Grandfather of the Bride?
4887,158,What is Arkansas?...  Noooo...
4891,162,Who is John Quincy Adams?
4894,162,Who is Coco Chanel?
4900,152,What is Scorpio?
4916,158,What is National Geographic?
4917,162,Who is Godel?
4931,164,Who is Aristotle?
4955,165,Who is Darius?
4964,164,
4967,164,Who is Dame Mae Whittie?
4968,163,What is gravity?
4973,163,Who is Pavlova?
5000,171,What is kapok?
5029,169,Who was Kosiusko?
5037,169,"Who are Haldeman, Ehrlichman, and Dean?"
5038,169,Who is Saturn?
5041,169,Who is Cornwallis?
5041,171,Who is Gates?
5051,168,What is a boob?
5058,168,What is New Orleans?
5064,168,What is the elbow?
5064,166,What are the knees?
5069,168,What is 3 to 1?
5078,168,What are student loans?
5085,167,What is Lake Kozmol?
5085,166,What is the Caspian Sea?
5086,167,What is knock and it shall be opened unto you?
5098,167,"Better go do it, $2300 please."
5100,167,Who is Newton?
5101,166,"Oh, they were friends!"
5104,168,What is his target?
5107,173,What is Greek?
5122,174,What are thieves?
5123,174,What is a moth?
5129,172,What is Denmark?
5130,172,"I'm sorry, I don't have any idea"
5141,174,What is a pagoda?
5149,174,What are jesters?
5154,174,What is arts?
5167,162,"What is ""Interjection""?"
5177,179,What is Home Improvement?
5177,162,What is My Three Sons?
5180,175,What is democracy?
5183,162,"What are 33, 45 & 78?"
5184,162,What is flat?
5217,162,Who is Melville?
5244,178,Pat?
5265,178,Who is George Plimpton?
5269,176,What is Dizzy?
5276,176,Who is Dan Quayle?
5276,178,Who is H. Ross Perot?
5294,181,What is a manatee?
5303,162,what is passenger?
5305,180,What's a clay oven?
5308,181,Who is Pulitzer?
5325,162,What is carbon?
5325,181,What is fluorine?
5327,180,Who is Mr. Rochester?
5330,162,What is Mauna Kea?
5337,180,I don't know.
5347,182,Who is Voltaire?
5347,183,Who is Zola?
5348,174,Who is Dennis Rodman?
5368,183,What is a vein?
5383,174,Who is Bruce Springsteen?
5397,183,"What is ""If you fall off the horse, you have to jump back on?"""
5399,183,"What is ""The Last of the Mohicans?"""
5400,182,Who is Neil Young?
5401,183,Who is Daniel Webster?
5407,184,What's London?
5417,185,What is The Sign of the Rose?
5424,162,What is Harvard?
5434,184,Who is Charles?
5440,185,What is London Bridge?
5445,185,What is K?
5450,184,"Uh, what is, uh, RX?"
5453,162,Who is Ethelbert?
5456,184,What's a ship?
5456,162,What's a steady ship?
5479,191,
5480,190,What is three?
5481,192,What is cloth?
5481,190,What is rope/twine?
5490,192,What is the emission control device?
5496,192,What is Mexico?
5504,191,What is Seattle?
5508,190,Lake Rayburn?
5521,190,Who is The Nutty Professor?
5540,190,Who is Diamond Lil?
5540,163,Who is Diamond Lil Langtry?
5548,163,Who is Happy Rockefeller?
5556,161,What is a sapphire?
5564,161,What is New Jersey Bell?
5564,163,What is Ohio Bell?
5576,161,Who is Carnegie?
5581,190,What is Mississippi?
5586,194,What is October?
5589,185,What is shellfish?
5591,194,What is the Examiner?
5604,193,What is the Exodus from Egypt?
5609,185,What is the Post-Telegram?
5610,194,What is 59?
5627,193,"What is, uh, uh, beg or egg?"
5628,193,"Oh, I don't know, what are sundries?"
5634,185,What is a spirochet?
5634,193,What is a spirochete?
5636,193,Who is Rodin?
5637,194,Who is Parsifal?
5645,196,What is a knight?
5659,194,What is the navel orange?
5662,195,What is South Africa?
5667,195,What is Norway?
5671,196,What is an airplane?
5671,194,What is chair?
5677,194,What is a hearing aid?
5683,196,What is Kodak?
5685,194,What is How Green Is My Valley?
5698,194,Emu--emuner--I'm sorry.
5724,197,Who is Smith?
5732,197,Who is Reagan?
5737,197,Who is Pierce?
5738,195,What is first class?
5743,198,What is Sabina?
5746,198,What is organdy?
5748,197,What is Song?
5749,198,Who is Calvin?
5755,195,"What is the ""Love Train""?"
5755,198,"What is the ""Soul Train""?"
5766,200,What is the commerce committee?
5773,200,What is a hematoma?
5785,199,What is arthritis?
5794,200,What is friction?
5795,200,What is...
5797,199,What is Tammany Hall?
5807,198,What is The Unforgiven?
5812,199,Who is Doppler?
5836,198,What is British Columbia?
5843,201,What is...
5843,202,What is Lionel?
5843,198,What is Xaviandra?
5846,201,What is Borneo?
5862,202,What is Sweden?
5878,203,What is Bismarck?
5887,204,What is Norway?
5891,203,What is wine?
5893,203,Who was Beatrix?
5914,203,What is the phoenix?
5932,198,What is Tudor? Half-Tudor?
5937,203,Who is Tom Hanks?
5940,206,Who is Biggie Small?
5941,206,What is the Appalachian Trail?
5950,205,What is margarine chagrin?
5961,205,What is GMC?
5994,205,Who is Benedict Arnold?
5995,205,What is a davenport?
6011,191,What is (Angora) wool?
6012,165,What is 4?
6020,191,Who is the scout?
6035,191,"What is the Spanish, the War of Spain, the Spanish Civil War?"
6042,191,"Doug, you've got $100, but you can risk $1,000."
6047,191,What is the Marne?
6048,165,What is M?
6048,191,What is GQ?
6050,191,What is Aldevron?
6053,191,What was England?
6054,191,What is PG?
6056,191,Who is Laplace?
6065,207,What are cows?
6074,198,Who is Pittsburgh?
6086,198,What is San Francisco?
6091,208,Who is Bob Cratchit?
6093,207,Who is Peary?
6101,208,What is a defibillerator?
6105,208,What is The Netherlands?
6111,208,Who is Peary?
6115,207,Who is Chagall?
6142,210,What is Africa?
6144,210,Who is Nixon?
6146,207,Who is Dr. Seuss?
6146,209,Who is Blake?
6158,209,Who is Botticelli?
6163,210,What is cycling?
6166,207,What is Casablanca?
6168,209,What are used books?
6199,207,What are her legs?
6201,212,What is pork?
6251,169,What is V-E-N-E-Z-U-E-L-A?
6256,169,What is P-A-G-O-P-A-G-O?
6259,159,Who was Mark Phillips?
6260,159,What is Bethesda?
6261,159,What is M-A-C-C-H-U P-I-C-C-H-U?
6261,192,What is M-A-C-H-U P-I-C-C-U?
6262,159,What is Niger?
6262,169,What is Mozambique?
6263,159,What is the Star of David?
6264,169,Who is Shelley Winters?
6266,169,Who is Douglas MacArthur?
6274,159,Who was Rogers?
6279,192,"You've got -$100; you can risk $1,000."
6284,169,What is the Washington Star?
6286,192,What is practice law?
6286,169,What is practice medicine?
6286,159,What is write?
6289,192,Who is Ibsen?
6290,159,What is the Chicago Tribune?
6290,192,What is the New York Times?
6291,159,What is Chicago?
6291,192,What is Cicero?
6306,212,What is squint?
6313,212,What is The Devil in the Blue Dress?
6327,213,Who is Wild Bill Hickok?
6328,213,Who--is--Wells?
